Time,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,HV 450-A,PE-A
0.1,89145.28,69958.39,83510,25524.78,68021.79,24592,137.2,-10.200001
0.4,115971.96,73970.67,102748,50544.57,70233.42,47164,613.48004,21166.701
0.4,74320.6,70727.875,68865,18496.77,66454.93,18241,17254.86,46.75
0.8,75896.164,70680.55,70372,24929.58,67355.914,24256,73.5,1.7
0.9,120256.64,74838.234,105309,76134.45,70385.37,70889,833.98004,45606.75
1,76642.805,71885.61,69873,30901.11,68119.85,29729,17834.041,85
1.5,140249.33,74964.37,122610,82930.89,72056.836,75426,683.06,30349.25
1.7,83839.24,69699.59,78831,19895.49,67199.45,19403,142.1,15.3
2.7,73722.88,71691.47,67393,28530.541,67694.055,27621,-57.82,73.950005
2.9,79600.12,69559.36,74996,26189.73,68142.38,25188,156.8,23.800001
3.1,90717.44,74244.266,80077,39064.65,90104.56,28413,210.7,153.85
3.5,77216.04,71738.46,70540,25071.871,68122.305,24120,138.18001,87.55
3.6,97849.96,69967.1,91653,36030.06,68069.586,34689,25219.32,39.95
3.7,81936.6,70697.08,75955,27212.73,67413.09,26455,306.74002,11.900001
4,74146.52,69524.37,69893,25043.041,72888.07,22517,13367.2,38.25
4,99815.164,75800.26,86299,49837.77,70102.984,46591,597.8,29088.701
4,112552.92,74829,98575,51405.75,70522.44,47771,2070.74,27955.65
4.7,81442.92,69931.4,76324,21678.3,65956.78,21540,13600.44,79.9
4.8,100314.96,69776.17,94219,33935.7,66765.03,33311,83.3,62.050003
5.1,119411.4,72921.766,107317,57363.332,69885.734,53793,669.34,40608.75
5.3,72240.484,70716.87,66948,25496.88,66593.484,25092,15381.101,1.7
5.5,67492.72,70147.22,63056,24854.25,66931.63,24336,13115.34,1.7
5.6,90713.36,71183.86,83516,34033.35,67711.29,32940,128.38,-12.75
5.6,93041,69138.54,88193,27273.18,66442.7,26901,13640.62,107.950005
5.6,88417.68,70085.64,82678,25721.94,66919.94,25190,14996.94,62.9
5.6,78085.08,70333.34,72759,27741.9,67953.4,26755,105.840004,90.100006
5.8,73350.92,70009.41,68664,24027.48,67109.83,23464,13192.761,85.850006
6,77067.805,69383.69,72794,24652.44,66393.62,24334,78.4,-52.7
6.3,74538.2,69771.836,70013,27771.66,66773.43,27257,32.34,12.75
6.5,76784.24,71555.38,70325,25751.701,67687.945,24933,91.14,-1.7
6.9,88814.805,75938.93,76648,59345.16,73073.13,53224,538.02,42375.05
6.9,58743.16,68076.47,56551,38446.2,67835.4,37143,32.34,41.65
7.2,102672.52,71105.85,94630,32694.15,67416.91,31782,156.8,30.6
7.6,96220,70427.58,89537,31922.25,67431.32,31025,12474.42,42.5
7.6,121237.2,71908.64,110493,56095.742,70723.734,51981,431.2,19686.85
7.6,85141.44,69910.414,79814,29270.82,66862.76,28690,11455.221,7.65
7.6,114408.64,74189.47,101064,70397.28,70799.16,65164,1074.0801,27781.4
7.7,94498.92,70350.34,88032,28378.02,67579.29,27520,13625.92,3.4
7.9,77588.68,71195.47,71421,23402.52,68576.234,22365,17247.02,60.350002
7.9,85787.44,70485.89,79763,28290.6,67442.17,27491,160.72,188.70001
8,67200.32,74826.11,58857,35609.7,67657.71,34493,153.86,22.95
8,88596.52,79095.766,73408,36918.21,104341.55,23188,14573.58,115.600006
8.4,74865.28,70704.125,69393,24390.18,70799.26,22577,11571.84,-2.5500002
8.5,158544.72,73984,140441,81547.984,75419.89,70861,717.36,41163.8
8.6,92484.08,75379.47,80407,53921.402,72196.32,48947,1002.54004,37244.45
8.9,89072.52,70141.51,83224,23947.5,67473.06,23260,-17.64,-56.100002
8.9,82297,71094.16,75863,30906.69,67107.34,30183,161.7,13.6
9.2,68676.6,70474.6,63864,21071.94,65810.65,20984,13513.221,-62.9
9.4,114284.2,74272.66,100841,57784.62,70995.55,53341,1332.8,46934.453
9.5,86974.72,70856.44,80444,27000.69,68416.22,25864,16018.101,43.350002
9.7,85926.164,70509.695,79865,32923.86,69386.05,31097,18041.8,29.75
9.7,77656,70992.836,71687,34238.88,68130.55,32935,187.18001,36.55
9.8,112792.28,72929.89,101357,55535.88,72333.4,50317,1689.52,48446.6
9.9,77145.32,69324.91,72929,30937.38,68016.77,29809,107.8,34
10.2,78013.68,69243.125,73837,19271.46,65354.434,19325,13545.561,51.850002
10.3,111180.68,69667.055,104588,38215.56,68160.65,36744,83.3,74.8
10.3,83444.84,68912.76,79356,16345.68,65800.4,16280,12726.28,-9.35
10.3,103158.72,71172.56,94989,29928.33,70744.2,27725,57.82,142.8
10.5,73671.2,71334.25,67683,23242.56,66612.34,22867,14394.24,0.85
11.4,76542.164,70137.97,71520,18912.48,66365.83,18676,5689.88,15.3
11.8,74521.2,70634.664,69142,18058.74,66154.14,17890,13076.141,-28.900002
12.4,120047.88,73510.47,107025,56460.3,68031.81,54389,1127.98,35870
12.8,89128.28,71557.695,81628,34791.3,68323.234,33372,15409.5205,10.200001
13.2,96871.44,70965.42,89460,35781.75,68391.06,34288,124.46,17
13.7,87200.484,82975.49,68873,51207.66,72412.234,46345,1036.84,45600.8
14,62829.96,71203.45,57829,20746.44,67425.67,20165,12056.94,64.6
14.1,78007.56,72389.68,70622,27494.52,68093.15,26462,116.62,35.7
14.5,74974.08,68758.766,71460,28570.53,67595.6,27700,9888.2,103.700005
14.7,96583.805,71334.414,88733,24247.89,67252.52,23629,17176.46,-5.9500003
14.8,93554.4,72119.664,85014,34075.2,68346.46,32674,18747.4,88.4
15.2,93269.484,70830.25,86298,31691.61,67271.54,30874,32.34,75.65
15.4,128762.76,76072.734,110928,51473.64,77193.98,43700,1432.76,130.05
15.9,81674.12,71005.33,75383,32810.4,70688.125,30419,100.94,73.1
16.3,100971.84,77517.62,85365,47148.21,70705.59,43701,1432.76,338.30002
16.5,96054.08,78454.1,80238,49831.26,96476.86,33850,39.2,38.25
16.5,87557.484,71026.59,80789,29179.68,68687.17,27841,180.32,17.85
16.7,112761.68,74550.33,99127,35472.06,69512.21,33443,588.98004,183.6
16.8,75930.164,71128.63,69960,21788.041,67634.58,21112,10774.12,52.7
17.8,89462.164,71260.06,82276,31721.371,67243.23,30916,110.740005,156.40001
17.9,78070.12,73444.01,69664,24062.82,68055.45,23172,24.5,123.25
17.9,101351.96,71108.8,93409,39545.46,68056.28,38081,65.66,27.2
18,82236.484,70292.28,76672,29904.15,66379.84,29524,9100.28,74.8
18.1,91468.84,70860.35,84596,28174.35,67605.24,27312,24456.88,15.3
18.3,72656.64,72412.45,65757,24470.16,66973.336,23945,15514.38,-4.25
18.4,88689.68,70681.68,82233,25269.96,66272.84,24989,15213.5205,44.2
18.6,90564.44,68821.445,86241,19748.55,65388.83,19793,75.46,96.05
18.6,82490.12,69658.7,77608,18161.041,66137.02,17996,70.56,4.25
18.8,93696.52,70737.33,86807,29209.44,67701.84,28275,45.08,-48.45
19,119207.4,72352.89,107976,61747.35,70147.6,57688,1152.48,20587.85
19.1,99705.68,70174.63,93115,27941.85,67614.26,27083,21.560001,38.25
19.5,69883.6,71240.23,64288,18830.64,66192.06,18644,11799.2,24.650002
19.6,90216.28,70526.1,83833,29753.49,68091.1,28637,17415.58,26.35
